zip-code,population,white-count,white-non-hispanic-count,black-count,native-american-count,asian-count,hawaiian-pacific-count,other-count,two-or-more-count,two-or-more-other-count,two-or-more-not-other-count
92782,23956,11172,9170,322,265,8684,0,2038,1475,265,1210
92801,67094,43630,10806,2430,190,11605,182,6581,2476,500,1976
92802,42476,29957,8375,829,136,6658,235,3495,1166,361,805
92804,88065,54035,20194,2428,507,20942,394,6729,3030,644,2386
92805,73140,54701,9828,1175,201,6528,366,8600,1569,301,1268
92806,40174,26795,10481,823,302,5676,137,4808,1633,258,1375
92807,35980,27168,20261,430,68,5884,95,978,1357,260,1097
92808,20726,13621,11191,593,0,4704,9,548,1251,178,1073
92821,37840,26249,17718,615,308,7166,58,1741,1703,283,1420
92823,4104,1789,1054,59,0,1845,0,74,337,17,320
92831,37686,24905,14404,1078,56,7298,153,2454,1742,358,1384
92832,25182,15091,7590,1091,106,2390,97,5375,1032,181,851
92833,52950,22902,12020,1260,148,18434,264,7436,2506,499,2007
92835,23513,14083,11746,518,43,6249,63,1265,1292,146,1146
92840,55928,24798,11410,621,148,18573,135,10598,1055,213,842
92841,34228,15005,7210,246,316,14816,78,3100,667,93,574
92843,45198,13149,4213,235,258,19421,290,11218,627,93,534
92844,24050,5383,3134,357,126,15004,1,2635,544,97,447
92845,16917,12987,10526,390,79,2316,42,271,832,211,621
92860,26613,20427,15010,1079,113,1058,40,2572,1324,325,999
92861,5893,4504,3956,80,0,1001,0,126,182,36,146
92865,20993,15378,9897,266,201,2851,35,1752,510,100,410
92866,15388,11966,8949,172,14,559,0,2352,325,34,291
92867,44545,33356,20325,597,287,5085,20,3754,1446,261,1185
92868,28148,13973,8119,873,60,4051,87,8360,744,203,541
92869,36598,27884,17291,329,166,4040,11,2552,1616,173,1443
92870,53642,38805,21524,684,367,9329,106,2452,1899,451,1448
92879,45767,29286,12746,2429,260,5810,248,5794,1940,853,1087
92880,68915,32945,16109,5227,437,16358,89,9827,4032,969,3063
92881,34039,22703,15396,2166,173,4278,121,3117,1481,296,1185
92882,71188,49904,25376,2202,300,6189,415,9006,3172,1027,2145
92883,33982,22243,16056,2341,242,3915,37,2823,2381,732,1649
92886,50543,37912,31006,554,83,8972,83,741,2198,310,1888
92887,20143,14361,11713,259,21,3992,0,424,1086,146,940
93001,33354,28779,17209,255,581,589,95,1927,1128,266,862
93003,51956,42988,30526,831,401,2317,47,2483,2889,660,2229
93004,30494,25481,16675,665,161,1384,13,997,1793,540,1253
93010,44122,33166,24658,1051,204,4204,76,2925,2496,383,2113
93012,36234,28428,23420,505,175,4115,0,917,2094,128,1966
93013,16735,12590,8522,50,282,552,0,2807,454,65,389
93015,17713,15542,4125,26,67,208,30,1400,440,186,254
93021,37989,29894,21119,513,246,2786,266,2482,1802,314,1488
93022,7147,6450,4813,1,114,104,11,193,274,24,250
93023,20272,18580,15406,46,111,307,30,486,712,115,597
93030,60191,44835,6900,1714,1058,4497,36,6111,1940,457,1483
93033,83572,64394,4867,1799,1925,5802,303,7677,1672,475,1197
93035,28795,22834,12827,1080,215,1668,72,1657,1269,340,929
93036,47234,35593,7995,1199,108,3286,77,4957,2014,357,1657
93040,1832,1468,129,56,27,18,0,194,69,31,38
93041,24487,17156,7184,1330,169,1524,207,1671,2430,334,2096
93042,99,50,0,12,0,6,0,7,24,0,24
93043,363,262,0,0,0,0,0,101,0,0,0
93060,34226,29343,6215,92,176,606,19,2816,1174,408,766
93063,56457,44439,34544,816,322,5143,81,2668,2988,616,2372
93064,0,0,0,0,0,0,0,0,0,0,0
93065,72763,58618,43710,1001,273,7265,50,2679,2877,341,2536
93066,3208,2778,1638,32,0,80,11,287,20,8,12
93067,579,431,431,33,0,30,0,58,27,27,0
93101,32101,22960,14112,459,239,1336,149,5619,1339,368,971
93103,20698,15753,9323,336,127,577,0,3081,824,171,653
93105,26177,22124,19322,204,268,948,23,1814,796,180,616
93108,11178,10174,9655,63,35,379,0,186,341,116,225
93109,12066,10035,8723,203,121,600,0,610,497,8,489
93110,16838,12985,10350,369,164,949,0,1648,723,246,477
93111,18334,14739,12402,295,80,1192,0,1401,627,107,520
93117,57913,37319,28528,1413,283,7949,30,7400,3519,977,2542
93201,1315,1044,235,0,61,5,0,147,58,23,35
93202,3684,1523,641,165,72,182,0,1485,257,74,183
93203,22471,19588,1407,323,92,46,71,2062,289,211,78
93204,13119,5497,1477,783,172,65,13,6347,242,44,198
93205,1593,1427,1033,16,31,0,0,0,119,0,119
93206,2044,1895,377,33,9,1,0,69,37,5,32
93207,269,251,251,0,11,3,0,0,4,0,4
93208,48,48,48,0,0,0,0,0,0,0,0
93210,18163,11087,5288,727,187,412,68,4597,1085,161,924
93212,24384,15656,4428,2679,434,189,37,4577,812,131,681
93215,55845,40123,3115,2672,512,6539,68,4782,1149,402,747
93218,889,778,103,0,5,0,0,103,3,0,3
93219,10375,8090,170,61,0,804,41,1354,25,22,3
93220,313,313,313,0,0,0,0,0,0,0,0
93221,15036,12961,8295,160,199,154,19,1206,337,130,207
93222,1420,1285,1281,0,53,30,0,13,39,6,33
93223,10738,8739,1068,198,168,10,0,1553,70,24,46
93224,402,376,353,0,10,2,0,0,14,0,14
93225,5319,4985,4132,0,49,55,0,13,217,0,217
93226,195,192,192,3,0,0,0,0,0,0,0
93230,66235,50769,25785,2915,439,2906,91,6276,2839,728,2111
93234,7028,2990,137,0,54,0,0,3913,71,71,0
93235,3804,2848,761,0,0,74,0,810,72,32,40
93238,1408,1337,1262,0,0,26,0,45,0,0,0
93239,1688,934,29,15,29,0,0,691,19,19,0
93240,6960,6698,6192,52,41,0,0,49,120,0,120
93241,16969,15659,511,42,68,21,5,1165,9,9,0
93242,3352,2356,1003,0,0,96,0,819,81,0,81
93243,1709,1254,624,0,186,186,0,15,68,0,68
93244,402,394,356,0,0,4,0,0,4,0,4
93245,37907,22781,16250,2998,1012,2237,226,6621,2032,183,1849
93247,18487,15013,2839,47,73,240,0,2723,391,97,294
93249,2264,2135,51,15,0,0,0,114,0,0,0
93250,15523,13854,678,130,45,12,11,1263,208,75,133
93251,243,222,124,2,0,8,0,11,0,0,0
93252,3188,2369,1084,68,84,122,0,125,420,354,66
93254,626,548,226,6,0,3,0,43,26,8,18
93255,707,649,649,0,14,15,0,18,11,0,11
93256,6113,4701,376,76,0,0,0,1200,136,79,57
93257,76676,59197,21134,586,1932,2882,160,9851,2068,773,1295
93258,2254,1376,115,0,0,615,0,254,9,0,9
93260,193,91,91,58,0,0,0,0,44,0,44
93261,3014,1940,7,0,44,128,0,886,16,8,8
93262,75,14,14,15,0,14,0,0,32,0,32
93263,20710,17173,3172,342,62,122,0,2683,328,153,175
93265,3388,3082,2890,14,52,0,0,115,125,16,109
93266,1440,753,263,0,13,0,0,674,0,0,0
93267,7045,5300,1656,0,14,4,0,1695,32,21,11
93268,17620,15714,10206,163,69,407,27,855,385,53,332
93270,5605,3655,805,277,198,0,5,1418,52,5,47
93271,2268,2154,1912,0,26,26,11,19,32,6,26
93272,4186,3551,685,0,0,0,0,567,68,12,56
93274,72918,57933,23052,2355,670,1444,141,7807,2568,833,1735
93276,159,150,113,0,1,0,0,1,7,0,7
93277,52785,42799,25030,1244,859,2045,30,3724,2084,574,1510
93280,27552,21731,3134,1774,201,213,54,2866,713,235,478
93283,2086,1854,1729,0,68,0,0,42,122,0,122
93285,1723,1709,1653,0,0,0,0,0,14,0,14
93286,9916,8167,1946,27,15,15,23,1554,115,52,63
93287,74,67,67,0,0,7,0,0,0,0,0
93291,56627,42930,18003,923,819,4430,190,4585,2750,822,1928
93292,40512,32051,16721,713,378,1566,0,4095,1709,433,1276
93301,12345,8437,5195,1214,113,644,19,1050,868,127,741
93304,50787,31361,10385,6250,587,1460,32,9795,1302,508,794
93305,39114,26316,6277,2386,638,526,27,8128,1093,574,519
93306,70208,56466,21128,2285,1105,1935,117,6159,2141,760,1381
93307,84948,58015,9519,5453,1637,2016,392,15754,1681,617,1064
93308,54042,45982,37642,1608,799,783,30,2359,2481,503,1978
93309,60893,43426,23875,5740,350,2355,230,6269,2523,490,2033
93311,44862,30021,19374,2233,626,7773,45,2347,1817,338,1479
93312,59359,46766,35597,1166,252,4362,123,3750,2940,827,2113
93313,51245,31838,13280,3809,403,5982,23,7706,1484,709,775
93314,26992,21908,16984,281,369,1968,104,1347,1015,204,811
93401,29108,24897,21424,462,67,1262,0,1220,1200,202,998
93402,15730,14009,12167,28,192,517,0,346,638,55,583
93405,35534,26458,22790,2506,257,3375,31,1516,1391,139,1252
