GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US91106,91106,ZCTA5 91106,25479,912
8600000US91107,91107,ZCTA5 91107,32199,1090
8600000US91108,91108,ZCTA5 91108,13769,236
8600000US91201,91201,ZCTA5 91201,23466,749
8600000US91202,91202,ZCTA5 91202,23182,903
8600000US91203,91203,ZCTA5 91203,14393,580
8600000US91204,91204,ZCTA5 91204,18318,887
8600000US91205,91205,ZCTA5 91205,37514,1140
8600000US91206,91206,ZCTA5 91206,34938,1096
8600000US91207,91207,ZCTA5 91207,10288,621
8600000US91208,91208,ZCTA5 91208,17128,830
8600000US91210,91210,ZCTA5 91210,835,329
8600000US91214,91214,ZCTA5 91214,30991,1220
8600000US91301,91301,ZCTA5 91301,26028,555
8600000US91302,91302,ZCTA5 91302,26500,758
8600000US91303,91303,ZCTA5 91303,30380,1108
8600000US91304,91304,ZCTA5 91304,53627,1493
8600000US91306,91306,ZCTA5 91306,49551,1618
8600000US91307,91307,ZCTA5 91307,27233,1002
8600000US91311,91311,ZCTA5 91311,40064,1053
8600000US91316,91316,ZCTA5 91316,30888,1214
8600000US91320,91320,ZCTA5 91320,45852,1154
8600000US91321,91321,ZCTA5 91321,34510,960
8600000US91324,91324,ZCTA5 91324,30101,1183
8600000US91325,91325,ZCTA5 91325,34240,1124
8600000US91326,91326,ZCTA5 91326,36804,963
8600000US91330,91330,ZCTA5 91330,3306,277
8600000US91331,91331,ZCTA5 91331,105696,2258
8600000US91335,91335,ZCTA5 91335,79687,1689
8600000US91340,91340,ZCTA5 91340,35771,1333
8600000US91342,91342,ZCTA5 91342,96177,2119
8600000US91343,91343,ZCTA5 91343,65964,1403
8600000US91344,91344,ZCTA5 91344,53453,1500
8600000US91345,91345,ZCTA5 91345,19022,955
8600000US91350,91350,ZCTA5 91350,37149,994
8600000US91351,91351,ZCTA5 91351,32661,1320
8600000US91352,91352,ZCTA5 91352,47934,1530
8600000US91354,91354,ZCTA5 91354,31027,997
8600000US91355,91355,ZCTA5 91355,31645,975
8600000US91356,91356,ZCTA5 91356,30346,1145
8600000US91360,91360,ZCTA5 91360,43389,929
8600000US91361,91361,ZCTA5 91361,20826,632
8600000US91362,91362,ZCTA5 91362,36071,940
8600000US91364,91364,ZCTA5 91364,27031,1011
8600000US91367,91367,ZCTA5 91367,43370,1233
8600000US91371,91371,ZCTA5 91371,0,12
8600000US91377,91377,ZCTA5 91377,14440,806
8600000US91381,91381,ZCTA5 91381,20530,689
8600000US91384,91384,ZCTA5 91384,29283,768
8600000US91387,91387,ZCTA5 91387,43319,1309
8600000US91390,91390,ZCTA5 91390,19521,984
8600000US91401,91401,ZCTA5 91401,40995,1429
8600000US91402,91402,ZCTA5 91402,71317,1714
8600000US91403,91403,ZCTA5 91403,24677,864
8600000US91405,91405,ZCTA5 91405,54770,1643
8600000US91406,91406,ZCTA5 91406,56200,1661
8600000US91411,91411,ZCTA5 91411,25210,1056
8600000US91423,91423,ZCTA5 91423,33641,957
8600000US91436,91436,ZCTA5 91436,14794,792
8600000US91501,91501,ZCTA5 91501,20892,979
8600000US91502,91502,ZCTA5 91502,11645,918
8600000US91504,91504,ZCTA5 91504,26558,965
8600000US91505,91505,ZCTA5 91505,30997,834
8600000US91506,91506,ZCTA5 91506,18245,643
8600000US91601,91601,ZCTA5 91601,38379,1463
8600000US91602,91602,ZCTA5 91602,18944,863
8600000US91604,91604,ZCTA5 91604,30642,1069
8600000US91605,91605,ZCTA5 91605,52386,1551
8600000US91606,91606,ZCTA5 91606,44352,1513
8600000US91607,91607,ZCTA5 91607,31383,1136
8600000US91608,91608,ZCTA5 91608,0,12
8600000US91701,91701,ZCTA5 91701,39628,1101
8600000US91702,91702,ZCTA5 91702,61739,888
8600000US91706,91706,ZCTA5 91706,77819,155
8600000US91708,91708,ZCTA5 91708,3154,460
8600000US91709,91709,ZCTA5 91709,78025,62
8600000US91710,91710,ZCTA5 91710,88862,1062
8600000US91711,91711,ZCTA5 91711,36933,450
8600000US91722,91722,ZCTA5 91722,36557,1358
8600000US91723,91723,ZCTA5 91723,20193,1001
8600000US91724,91724,ZCTA5 91724,25755,1147
8600000US91730,91730,ZCTA5 91730,70545,1743
8600000US91731,91731,ZCTA5 91731,30063,1378
8600000US91732,91732,ZCTA5 91732,63557,1590
8600000US91733,91733,ZCTA5 91733,44989,1360
8600000US91737,91737,ZCTA5 91737,25759,951
8600000US91739,91739,ZCTA5 91739,39069,1216
8600000US91740,91740,ZCTA5 91740,26067,889
8600000US91741,91741,ZCTA5 91741,26610,899
8600000US91744,91744,ZCTA5 91744,86982,1791
8600000US91745,91745,ZCTA5 91745,54166,1278
8600000US91746,91746,ZCTA5 91746,30640,1402
8600000US91748,91748,ZCTA5 91748,47114,1333
8600000US91750,91750,ZCTA5 91750,34017,290
8600000US91752,91752,ZCTA5 91752,30716,1471
8600000US91754,91754,ZCTA5 91754,33114,837
8600000US91755,91755,ZCTA5 91755,27942,839
8600000US91759,91759,ZCTA5 91759,426,112
8600000US91761,91761,ZCTA5 91761,60560,1435
8600000US91762,91762,ZCTA5 91762,59433,1668
8600000US91763,91763,ZCTA5 91763,38211,220
8600000US91764,91764,ZCTA5 91764,53750,1443
8600000US91765,91765,ZCTA5 91765,47398,528
8600000US91766,91766,ZCTA5 91766,72787,1446
8600000US91767,91767,ZCTA5 91767,49492,1268
8600000US91768,91768,ZCTA5 91768,36122,1236
8600000US91770,91770,ZCTA5 91770,63981,933
8600000US91773,91773,ZCTA5 91773,34555,272
8600000US91775,91775,ZCTA5 91775,25156,779
8600000US91776,91776,ZCTA5 91776,38322,702
8600000US91780,91780,ZCTA5 91780,35184,761
8600000US91784,91784,ZCTA5 91784,25908,745
8600000US91786,91786,ZCTA5 91786,53339,688
8600000US91789,91789,ZCTA5 91789,44115,592
8600000US91790,91790,ZCTA5 91790,45958,1187
8600000US91791,91791,ZCTA5 91791,33953,1142
8600000US91792,91792,ZCTA5 91792,29787,1046
8600000US91801,91801,ZCTA5 91801,54928,983
8600000US91803,91803,ZCTA5 91803,30137,983
8600000US91901,91901,ZCTA5 91901,18238,997
8600000US91902,91902,ZCTA5 91902,19762,1376
8600000US91905,91905,ZCTA5 91905,1528,486
8600000US91906,91906,ZCTA5 91906,3426,564
8600000US91910,91910,ZCTA5 91910,76250,1826
8600000US91911,91911,ZCTA5 91911,84025,2653
8600000US91913,91913,ZCTA5 91913,49346,2424
8600000US91914,91914,ZCTA5 91914,17186,958
8600000US91915,91915,ZCTA5 91915,32073,1554
8600000US91916,91916,ZCTA5 91916,1752,244
8600000US91917,91917,ZCTA5 91917,1125,461
8600000US91931,91931,ZCTA5 91931,370,251
8600000US91932,91932,ZCTA5 91932,26713,221
8600000US91934,91934,ZCTA5 91934,298,182
8600000US91935,91935,ZCTA5 91935,8547,947
8600000US91941,91941,ZCTA5 91941,32944,1107
8600000US91942,91942,ZCTA5 91942,40239,789
8600000US91945,91945,ZCTA5 91945,26983,238
8600000US91948,91948,ZCTA5 91948,14,22
8600000US91950,91950,ZCTA5 91950,62386,343
8600000US91962,91962,ZCTA5 91962,2530,548
8600000US91963,91963,ZCTA5 91963,957,358
8600000US91977,91977,ZCTA5 91977,61377,1853
8600000US91978,91978,ZCTA5 91978,9829,761
8600000US91980,91980,ZCTA5 91980,623,860
8600000US92003,92003,ZCTA5 92003,5161,780
8600000US92004,92004,ZCTA5 92004,2315,598
8600000US92007,92007,ZCTA5 92007,11301,643
8600000US92008,92008,ZCTA5 92008,27537,1273
8600000US92009,92009,ZCTA5 92009,44632,1056
8600000US92010,92010,ZCTA5 92010,15694,1008
8600000US92011,92011,ZCTA5 92011,24895,1055
8600000US92014,92014,ZCTA5 92014,14048,538
8600000US92019,92019,ZCTA5 92019,43116,1630
8600000US92020,92020,ZCTA5 92020,58862,1464
8600000US92021,92021,ZCTA5 92021,71127,2156
8600000US92024,92024,ZCTA5 92024,51309,649
8600000US92025,92025,ZCTA5 92025,53470,1328
8600000US92026,92026,ZCTA5 92026,48757,1494
8600000US92027,92027,ZCTA5 92027,57746,1506
8600000US92028,92028,ZCTA5 92028,48015,1660
8600000US92029,92029,ZCTA5 92029,18615,818
8600000US92036,92036,ZCTA5 92036,2201,356
8600000US92037,92037,ZCTA5 92037,39893,1300
8600000US92040,92040,ZCTA5 92040,44243,1665
8600000US92054,92054,ZCTA5 92054,43554,1684
8600000US92055,92055,ZCTA5 92055,11959,1352
8600000US92056,92056,ZCTA5 92056,54181,1477
8600000US92057,92057,ZCTA5 92057,57276,1441
8600000US92058,92058,ZCTA5 92058,46569,2026
8600000US92059,92059,ZCTA5 92059,1271,264
8600000US92060,92060,ZCTA5 92060,101,57
8600000US92061,92061,ZCTA5 92061,2259,630
8600000US92064,92064,ZCTA5 92064,49981,105
8600000US92065,92065,ZCTA5 92065,37826,1619
8600000US92066,92066,ZCTA5 92066,580,227
8600000US92067,92067,ZCTA5 92067,9028,1221
8600000US92069,92069,ZCTA5 92069,49638,1351
8600000US92070,92070,ZCTA5 92070,919,177
8600000US92071,92071,ZCTA5 92071,57245,132
8600000US92075,92075,ZCTA5 92075,12754,256
8600000US92078,92078,ZCTA5 92078,49261,1456
8600000US92081,92081,ZCTA5 92081,29039,1259
8600000US92082,92082,ZCTA5 92082,19263,1727
8600000US92083,92083,ZCTA5 92083,38107,1446
8600000US92084,92084,ZCTA5 92084,51334,1493
8600000US92086,92086,ZCTA5 92086,1675,237
8600000US92091,92091,ZCTA5 92091,1458,323
8600000US92101,92101,ZCTA5 92101,38023,1491
8600000US92102,92102,ZCTA5 92102,44644,1706
8600000US92103,92103,ZCTA5 92103,34671,1268
8600000US92104,92104,ZCTA5 92104,44398,1532
8600000US92105,92105,ZCTA5 92105,73379,2501
8600000US92106,92106,ZCTA5 92106,19250,1177
8600000US92107,92107,ZCTA5 92107,29796,1180
8600000US92108,92108,ZCTA5 92108,21973,1318
8600000US92109,92109,ZCTA5 92109,49024,1739
8600000US92110,92110,ZCTA5 92110,28373,1219
8600000US92111,92111,ZCTA5 92111,49467,1362
8600000US92113,92113,ZCTA5 92113,56478,1871
8600000US92114,92114,ZCTA5 92114,69635,1863
8600000US92115,92115,ZCTA5 92115,65704,2041
8600000US92116,92116,ZCTA5 92116,34295,1401
8600000US92117,92117,ZCTA5 92117,55978,1413
8600000US92118,92118,ZCTA5 92118,22623,451
8600000US92119,92119,ZCTA5 92119,23910,851
8600000US92120,92120,ZCTA5 92120,29392,1128
8600000US92121,92121,ZCTA5 92121,4807,366
8600000US92122,92122,ZCTA5 92122,47331,1651
